created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2026-02-05T11:15:21+00:00,103,0.14,0.00,0.00,98.50,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:15:39+00:00,104,0.14,0.00,0.00,98.49,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:15:56+00:00,105,0.12,0.00,0.00,98.47,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:16:12+00:00,106,0.13,0.00,0.00,98.45,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:16:31+00:00,107,0.12,0.00,0.00,98.43,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:16:48+00:00,108,0.14,0.00,0.00,98.42,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:17:07+00:00,109,0.14,0.00,0.00,98.40,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:17:29+00:00,110,0.13,0.00,0.00,98.38,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:17:47+00:00,111,0.12,0.00,0.00,98.36,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:18:06+00:00,112,0.13,0.00,0.00,98.34,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:18:22+00:00,113,0.12,0.00,0.00,98.32,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:18:41+00:00,114,0.14,0.00,0.00,98.30,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:18:56+00:00,115,0.12,0.00,0.00,98.29,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:19:13+00:00,116,0.13,0.00,0.00,98.27,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:19:31+00:00,117,0.14,0.00,0.00,98.25,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:20:18+00:00,118,0.13,0.00,0.00,98.22,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:20:39+00:00,119,0.12,0.00,0.00,98.20,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:21:00+00:00,120,0.14,0.00,0.00,98.18,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:21:16+00:00,121,0.11,0.00,0.00,98.16,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:21:42+00:00,122,0.12,0.00,0.00,98.14,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:22:33+00:00,123,0.08,0.00,0.00,98.10,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:22:51+00:00,124,0.09,0.00,0.00,98.08,0.10,0.00,0.00,0.00,,,,
2026-02-05T11:23:11+00:00,125,0.08,0.00,0.00,98.06,0.07,0.00,0.00,0.00,,,,
2026-02-05T11:23:31+00:00,126,0.08,0.00,0.00,98.04,0.08,0.00,0.00,0.00,,,,
2026-02-05T11:23:47+00:00,127,0.07,0.00,0.00,98.03,0.07,0.00,0.00,0.00,,,,
2026-02-05T11:24:06+00:00,128,0.08,0.00,0.00,98.01,0.09,0.00,0.00,0.00,,,,
2026-02-05T11:24:21+00:00,129,0.07,0.00,0.00,97.99,0.07,0.00,0.00,0.00,,,,
2026-02-05T11:24:39+00:00,130,0.07,0.00,0.00,97.98,0.08,0.00,0.00,0.00,,,,
2026-02-05T11:24:56+00:00,131,0.07,0.00,0.00,97.96,0.07,0.00,0.00,0.00,,,,
2026-02-05T11:25:16+00:00,132,0.09,0.00,0.00,97.94,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:25:36+00:00,133,0.10,0.00,0.00,97.92,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:25:56+00:00,134,0.10,0.00,0.00,97.90,0.09,0.00,0.00,0.00,,,,
2026-02-05T11:26:14+00:00,135,0.09,0.00,0.00,97.88,0.09,0.00,0.00,0.00,,,,
2026-02-05T11:26:31+00:00,136,0.09,0.00,0.00,97.86,0.10,0.00,0.00,0.00,,,,
2026-02-05T11:26:51+00:00,137,0.11,0.00,0.00,97.84,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:27:06+00:00,138,0.08,0.00,0.00,97.83,0.09,0.00,0.00,0.00,,,,
2026-02-05T11:27:27+00:00,139,0.11,0.00,0.00,97.81,0.11,0.00,0.00,0.00,,,,
2026-02-05T11:27:46+00:00,140,0.13,0.00,0.00,97.79,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:28:01+00:00,141,0.12,0.00,0.00,97.77,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:28:21+00:00,142,0.10,0.00,0.00,97.75,0.10,0.00,0.00,0.00,,,,
2026-02-05T11:28:36+00:00,143,0.14,0.00,0.00,97.74,0.14,0.00,0.00,0.00,,,,
2026-02-05T11:28:56+00:00,144,0.16,0.00,0.00,97.72,0.15,0.00,0.00,0.00,,,,
2026-02-05T11:29:16+00:00,145,0.12,0.00,0.00,97.70,0.12,0.00,0.00,0.00,,,,
2026-02-05T11:29:36+00:00,146,0.11,0.00,0.00,97.68,0.10,0.00,0.00,0.00,,,,
2026-02-05T11:29:56+00:00,147,0.12,0.00,0.00,97.66,0.13,0.00,0.00,0.00,,,,
2026-02-05T11:30:11+00:00,148,0.28,0.00,0.00,97.64,0.27,0.00,0.00,0.00,,,,
2026-02-05T11:30:31+00:00,149,12.43,1.46,91.88,97.64,12.42,1.70,0.00,0.00,,,,
2026-02-05T11:30:46+00:00,150,12.44,1.28,92.57,97.64,12.45,1.59,0.00,0.00,,,,
2026-02-05T11:31:01+00:00,151,12.42,1.87,91.25,97.64,12.39,1.78,0.00,0.00,,,,
2026-02-05T11:31:17+00:00,152,11.18,1.75,32.42,97.64,11.19,1.90,19.44,1.62,,,,
2026-02-05T11:31:36+00:00,153,12.31,1.90,86.43,97.64,12.35,1.80,0.00,0.00,,,,
2026-02-05T11:31:56+00:00,154,12.36,1.92,88.39,97.64,12.37,1.06,0.00,0.00,,,,
2026-02-05T11:32:18+00:00,155,11.76,1.87,59.93,100.00,11.74,1.00,20.16,1.68,,,,
2026-02-05T11:32:38+00:00,156,11.09,1.83,28.20,100.00,11.12,1.32,13.08,1.09,,,,
2026-02-05T11:32:58+00:00,157,11.02,1.86,24.79,100.00,11.03,1.98,16.92,1.41,,,,
2026-02-05T11:33:15+00:00,158,11.61,1.20,52.63,100.00,11.60,1.38,19.80,1.65,,,,
2026-02-05T11:33:39+00:00,159,12.26,1.33,83.98,100.00,12.28,1.31,0.00,0.00,,,,
2026-02-05T11:33:59+00:00,160,12.26,1.28,83.80,100.00,12.28,1.55,0.00,0.00,,,,
2026-02-05T11:34:19+00:00,161,12.27,1.83,84.08,100.00,12.28,1.88,0.00,0.00,,,,
2026-02-05T11:34:34+00:00,162,12.28,1.06,84.97,100.00,12.29,1.21,0.00,0.00,,,,
2026-02-05T11:34:54+00:00,163,12.27,1.65,84.30,100.00,12.28,1.35,0.00,0.00,,,,
2026-02-05T11:35:14+00:00,164,12.26,1.53,83.62,100.00,12.28,1.29,0.00,0.00,,,,
2026-02-05T11:35:29+00:00,165,12.27,1.62,84.46,100.00,12.30,1.58,0.00,0.00,,,,
2026-02-05T11:35:49+00:00,166,12.28,1.36,84.62,100.00,12.28,1.48,0.00,0.00,,,,
2026-02-05T11:36:27+00:00,167,12.27,1.72,84.24,100.00,7.37,1.71,0.00,0.00,,,,
2026-02-05T11:36:47+00:00,168,12.27,1.59,84.52,100.00,7.37,1.91,0.00,0.00,,,,
2026-02-05T11:37:02+00:00,169,12.20,1.82,81.13,100.00,7.34,1.93,0.00,0.00,,,,
2026-02-05T11:37:18+00:00,170,12.27,1.86,84.20,100.00,7.37,1.86,0.00,0.00,,,,
2026-02-05T12:07:56+00:00,171,12.21,1.94,81.60,99.99,7.33,1.73,0.00,0.00,,,,
2026-02-05T12:08:12+00:00,172,12.19,1.72,80.69,99.99,7.33,1.87,0.00,0.00,,,,
2026-02-05T12:08:27+00:00,173,12.28,1.46,84.53,99.98,7.36,1.90,0.00,0.00,,,,
2026-02-05T12:09:06+00:00,174,0.05,0.00,0.00,100.00,0.05,0.00,0.00,0.00,,,,
2026-02-05T12:09:26+00:00,175,12.20,1.93,80.82,99.99,7.32,1.31,0.00,0.00,,,,
2026-02-05T12:09:41+00:00,176,12.27,1.52,84.44,99.99,7.36,1.30,0.00,0.00,,,,
2026-02-05T12:10:01+00:00,177,0.20,0.00,0.00,99.98,0.12,0.00,0.00,0.00,,,,
2026-02-05T12:10:16+00:00,178,0.12,0.00,0.00,99.97,0.05,0.00,0.00,0.00,,,,
2026-02-05T12:10:36+00:00,179,12.16,1.72,79.12,99.96,7.31,1.88,0.00,0.00,,,,
2026-02-05T12:10:51+00:00,180,12.12,1.43,77.12,99.96,0.19,0.00,0.00,0.00,,,,
2026-02-05T12:11:11+00:00,181,12.09,1.05,75.49,99.96,0.25,0.00,0.00,0.00,,,,
2026-02-05T12:11:26+00:00,182,12.11,1.65,76.50,99.96,0.28,0.00,0.00,0.00,,,,
2026-02-05T12:11:41+00:00,183,12.10,1.39,76.08,99.96,0.26,0.00,0.00,0.00,,,,
2026-02-05T12:12:01+00:00,184,11.34,1.77,40.00,99.96,0.36,0.00,18.72,1.56,,,,
2026-02-05T12:12:21+00:00,185,12.08,1.34,75.21,99.96,0.26,0.00,0.00,0.00,,,,
2026-02-05T12:12:36+00:00,186,12.09,1.02,75.58,99.96,0.31,0.00,0.00,0.00,,,,
2026-02-05T12:12:56+00:00,187,12.08,1.51,75.46,99.96,0.28,0.00,0.00,0.00,,,,
2026-02-05T12:13:16+00:00,188,12.07,1.00,74.74,99.96,0.30,0.00,0.00,0.00,,,,
2026-02-05T12:13:36+00:00,189,12.10,1.14,75.96,99.96,0.27,0.00,0.00,0.00,,,,
2026-02-05T12:13:56+00:00,190,12.08,1.11,75.17,99.96,0.28,0.00,0.00,0.00,,,,
2026-02-05T12:14:40+00:00,191,12.10,1.59,76.24,100.00,0.41,0.00,0.00,0.00,,,,
2026-02-05T12:14:59+00:00,192,12.06,1.32,74.24,100.00,0.36,0.00,0.00,0.00,,,,
2026-02-05T12:15:17+00:00,193,12.06,1.63,74.50,100.00,0.34,0.00,0.00,0.00,,,,
2026-02-05T12:15:34+00:00,194,12.07,1.92,74.83,100.00,0.35,0.00,0.00,0.00,,,,
2026-02-05T12:15:54+00:00,195,12.06,1.34,74.48,100.00,0.36,0.00,0.00,0.00,,,,
2026-02-05T12:16:09+00:00,196,12.09,1.97,75.86,100.00,0.34,0.00,0.00,0.00,,,,
2026-02-05T12:16:29+00:00,197,12.06,1.81,74.16,100.00,0.35,0.00,0.00,0.00,,,,
2026-02-05T12:16:50+00:00,198,12.06,1.38,74.44,100.00,0.35,0.00,0.00,0.00,,,,
2026-02-05T12:17:09+00:00,199,12.05,1.48,73.96,100.00,0.38,0.00,0.00,0.00,,,,
2026-02-05T12:17:29+00:00,200,12.05,1.97,73.97,100.00,0.36,0.00,0.00,0.00,,,,
2026-02-05T12:18:06+00:00,201,12.08,1.38,75.04,100.00,0.80,0.00,0.00,0.00,,,,
2026-02-05T12:18:26+00:00,202,12.03,2.00,72.86,100.00,0.81,0.00,0.00,0.00,,,,
2026-02-05T12:18:46+00:00,203,12.03,1.86,72.81,100.00,0.75,0.00,0.00,0.00,,,,
2026-02-05T12:19:06+00:00,204,12.06,1.47,74.11,100.00,0.78,0.00,0.00,0.00,,,,
2026-02-05T12:19:54+00:00,205,12.04,1.66,73.28,100.00,0.64,0.00,0.00,0.00,,,,
2026-02-05T12:20:13+00:00,206,12.04,1.55,73.54,100.00,0.64,0.00,0.00,0.00,,,,
2026-02-05T12:20:28+00:00,207,12.08,1.82,75.06,100.00,0.65,0.00,0.00,0.00,,,,
2026-02-05T12:20:44+00:00,208,12.04,1.67,73.16,100.00,0.65,0.00,0.00,0.00,,,,
2026-02-05T12:21:04+00:00,209,12.05,1.53,73.88,100.00,0.62,0.00,0.00,0.00,,,,
2026-02-05T12:21:36+00:00,210,12.02,1.37,72.48,100.00,3.50,1.15,0.00,0.00,,,,
2026-02-05T12:21:56+00:00,211,12.03,1.80,72.75,100.00,3.50,1.47,0.00,0.00,,,,
2026-02-05T12:22:16+00:00,212,12.05,1.52,73.64,100.00,3.50,1.50,0.00,0.00,,,,
2026-02-05T12:22:31+00:00,213,12.04,1.36,73.14,100.00,3.50,1.59,0.00,0.00,,,,
2026-02-05T12:22:51+00:00,214,10.84,1.17,16.18,100.00,3.50,1.52,14.76,1.23,,,,
2026-02-05T12:23:11+00:00,215,10.71,1.09,10.15,100.00,3.50,1.52,16.44,1.37,,,,
2026-02-05T12:23:31+00:00,216,10.65,1.02,7.26,100.00,3.50,1.18,17.04,1.42,,,,
2026-02-05T12:23:51+00:00,217,11.14,1.66,30.33,100.00,3.50,1.29,14.64,1.22,,,,
2026-02-05T12:24:11+00:00,218,11.11,1.70,29.19,100.00,3.50,2.00,17.52,1.46,,,,
2026-02-05T12:24:26+00:00,219,11.10,1.12,28.53,100.00,3.50,1.88,15.96,1.33,,,,
2026-02-05T12:24:46+00:00,220,11.05,1.37,26.05,100.00,3.50,1.52,21.84,1.82,,,,
2026-02-05T12:25:01+00:00,221,11.01,1.46,24.32,100.00,3.50,1.50,22.20,1.85,,,,
2026-02-05T12:25:21+00:00,222,11.00,1.51,24.00,100.00,3.50,1.01,15.72,1.31,,,,
2026-02-05T12:25:36+00:00,223,11.89,1.08,66.39,100.00,3.50,1.74,0.00,0.00,,,,
2026-02-05T12:25:56+00:00,224,11.84,1.00,63.74,100.00,3.50,1.41,0.00,0.00,,,,
2026-02-05T12:26:17+00:00,225,11.87,1.57,65.34,100.00,3.50,1.06,0.00,0.00,,,,
2026-02-05T12:26:34+00:00,226,11.84,1.36,63.93,100.00,3.50,1.84,0.00,0.00,,,,
2026-02-05T12:26:54+00:00,227,11.89,1.34,66.34,100.00,3.50,1.53,0.00,0.00,,,,
2026-02-05T12:27:09+00:00,228,11.86,1.71,64.78,100.00,3.50,1.78,0.00,0.00,,,,
2026-02-05T12:27:29+00:00,229,10.33,1.56,0.00,100.00,3.50,1.19,43.68,3.64,,,,
2026-02-05T12:27:44+00:00,230,11.75,1.48,59.56,99.99,3.50,1.48,0.00,0.00,,,,
2026-02-05T12:27:59+00:00,231,11.80,1.92,62.04,99.99,3.50,1.28,0.00,0.00,,,,
2026-02-05T12:28:19+00:00,232,11.84,1.74,63.70,99.99,3.50,1.20,0.00,0.00,,,,
2026-02-05T12:28:34+00:00,233,11.85,1.37,64.37,99.99,3.50,1.93,0.00,0.00,,,,
2026-02-05T12:28:54+00:00,234,11.88,1.90,65.61,99.99,3.50,1.60,0.00,0.00,,,,
2026-02-05T12:29:14+00:00,235,11.83,1.89,63.46,99.99,3.50,1.01,0.00,0.00,,,,
2026-02-05T12:29:34+00:00,236,11.88,1.32,65.55,99.99,3.50,1.46,0.00,0.00,,,,
2026-02-05T12:29:54+00:00,237,11.86,1.90,64.58,99.99,3.50,1.66,0.00,0.00,,,,
2026-02-05T12:30:09+00:00,238,11.87,1.74,65.24,99.99,3.50,1.02,0.00,0.00,,,,
2026-02-05T12:30:29+00:00,239,11.85,1.00,64.40,99.99,3.50,1.89,0.00,0.00,,,,
2026-02-05T12:30:44+00:00,240,11.90,1.34,66.59,99.99,3.50,1.50,0.00,0.00,,,,
2026-02-05T12:31:10+00:00,241,11.89,1.59,66.00,100.00,3.50,1.32,0.00,0.00,,,,
2026-02-05T12:31:30+00:00,242,11.91,1.17,67.19,100.00,3.50,1.71,0.00,0.00,,,,
2026-02-05T12:31:50+00:00,243,11.89,1.01,66.24,100.00,3.50,1.28,0.00,0.00,,,,
2026-02-05T12:32:10+00:00,244,11.89,1.29,66.27,100.00,3.50,1.21,0.00,0.00,,,,
2026-02-05T12:32:39+00:00,245,11.88,1.53,65.80,100.00,3.50,1.84,0.00,0.00,,,,
2026-02-05T12:32:55+00:00,246,9.74,1.18,0.00,99.99,3.50,1.44,55.20,4.60,,,,
2026-02-05T12:33:14+00:00,247,11.84,1.63,63.94,99.99,3.50,1.91,0.00,0.00,,,,
2026-02-05T12:33:34+00:00,248,10.04,1.10,0.00,99.97,3.50,1.12,37.56,3.13,,,,
2026-02-05T12:33:54+00:00,249,10.36,1.64,0.00,99.95,3.50,1.89,22.80,1.90,,,,
2026-02-05T12:34:14+00:00,250,11.63,1.99,53.70,99.95,3.50,1.54,0.00,0.00,,,,
2026-02-05T12:34:29+00:00,251,11.64,1.77,54.24,99.95,3.50,1.33,0.00,0.00,,,,
2026-02-05T12:34:44+00:00,252,11.73,1.08,58.55,99.95,3.50,1.43,0.00,0.00,,,,
